tweet_id,favorite_count,retweet_count
836648853927522308,0,566
836397794269200385,0,28453
836380477523124226,15155,3070
836260088725786625,21862,4426
836001077879255040,19606,4393
835685285446955009,0,8398
835574547218894849,18277,3728
835536468978302976,0,1755
835309094223372289,0,21715
835297930240217089,16911,3100
835264098648616962,7943,1755
835246439529840640,2160,73
835172783151792128,26875,5947
835152434251116546,23084,3122
834931633769889797,11130,1705
834786237630337024,21855,5654
834574053763584002,14065,2621
834477809192075265,0,11032
834458053273591808,9892,1737
834209720923721728,21211,4921
834167344700198914,16239,3773
834089966724603904,10334,2198
834086379323871233,13426,2280
833863086058651648,13796,2482
833826103416520705,18528,3881
833732339549220864,0,224
833722901757046785,21352,3327
833479644947025920,15272,2112
833124694597443584,20772,5012
832998151111966721,13684,2286
832769181346996225,0,39
832757312314028032,17326,3742
832682457690300417,12228,3038
832645525019123713,3018,543
832636094638288896,16312,2883
832397543355072512,12292,2289
832369877331693569,17694,3302
832273440279240704,11652,2415
832215909146226688,0,6436
832215726631055365,0,9710
832088576586297345,67,2
832040443403784192,0,10007
832032802820481025,18395,4835
831939777352105988,24733,6361
831926988323639298,352,34
831911600680497154,28518,6752
831670449226514432,10772,1880
831650051525054464,7400,2008
831552930092285952,9268,2382
831322785565769729,9519,1600
831315979191906304,6738,1161
831309418084069378,12114,2547
831262627380748289,12287,2122
830956169170665475,8213,1548
830583320585068544,69018,17434
830173239259324417,0,5916
830097400375152640,10145,3082
829878982036299777,0,5220
829861396166877184,12624,2031
829501995190984704,32794,11032
829449946868879360,10812,2105
829141528400556032,25260,7668
829011960981237760,54807,16945
828801551087042563,0,3541
828770345708580865,26399,6111
828708714936930305,37801,11670
828650029636317184,9836,1409
828409743546925057,6536,1206
828408677031882754,7933,1342
828381636999917570,13060,2304
828376505180889089,7643,1111
828372645993398273,12996,3060
828361771580813312,2281,177
828046555563323392,12164,2978
828011680017821696,10708,2236
827933404142436356,20801,5444
827653905312006145,15990,3123
827600520311402496,7664,979
827324948884643840,16383,3176
827199976799354881,10941,2334
826958653328592898,22325,5220
826848821049180160,37689,10620
826615380357632002,0,4148
826598799820865537,5282,264
826598365270007810,10408,2443
826476773533745153,19064,4396
826240494070030336,13756,2708
826204788643753985,5040,968
826115272272650244,16196,3269
825876512159186944,10826,1952
825829644528148480,13182,2588
825535076884762624,54061,18038
825147591692263424,18970,4746
825120256414846976,0,1329
825026590719483904,6569,1329
824796380199809024,0,5737
824775126675836928,15489,3676
824663926340194305,10454,1814
824325613288833024,12249,10937
824297048279236611,15620,4032
824025158776213504,4970,618
823939628516474880,11022,2830
823719002937630720,0,11713
823699002998870016,14451,2629
823581115634085888,13521,2752
823333489516937216,725,26
823322678127919110,16323,4205
823269594223824897,0,10339
822975315408461824,17949,3599
822872901745569793,136997,45386
822859134160621569,13764,2397
822647212903690241,0,6695
822610361945911296,15358,3089
822489057087389700,18859,6695
822462944365645825,29375,15133
822244816520155136,36347,10339
822163064745328640,0,5021
821886076407029760,11780,2431
821813639212650496,0,3504
821765923262631936,8740,1726
821522889702862852,8335,1848
821421320206483457,0,5854
